pdb_code,fold_number
1J7L,0
1BS4,0
1AJ5,0
1ZRM,0
1HND,0
1PMT,0
1GKX,0
1EUA,0
1FO9,0
1F07,0
1A33,0
1G3K,0
1F8A,0
1XGS,0
1QDR,0
1IIP,0
1DIX,0
1CL6,0
1B6B,0
2MIN,0
1G58,0
1FWK,0
3BTO,0
3RUB,0
2TLI,0
1DUG,0
1QBG,0
2FHE,0
1JEH,0
1PTR,0
1QAS,0
1AE1,0
1A59,0
1KAP,0
1CKJ,0
2GAC,0
1DFA,0
1F8Y,0
1OIL,0
1EOI,0
2GEP,0
1KVW,0
1EJB,0
1J80,0
3THI,0
1FWN,0
1AYD,0
1AA6,0
1DIH,0
1G1A,0
1FX4,0
1DV1,0
1B0Z,0
1JEJ,0
1MAR,0
1IUS,0
1CL2,0
1GA8,0
1QK3,0
9GAC,0
1C2P,0
1A49,0
1F83,0
1H7X,0
1NHP,0
1E5S,0
1DJ9,0
2HAD,0
7ATJ,0
2PLH,0
1LVE,0
1ET9,0
1QLP,0
1I81,0
1KIV,0
1A1X,0
1YFP,0
1B7V,0
1FD3,0
1J8Q,0
1AB1,0
1RH4,0
1BYF,0
1BOY,0
2TIR,0
5PTI,0
1DUW,0
1ILR,0
1NFO,0
1ZEI,0
2GAL,0
3POR,0
1D06,0
1AOX,0
2UTG,0
7PTI,0
1CSP,0
1RRG,0
1RMI,0
1QTO,0
1A2B,0
1FSO,0
1IB3,0
1NAT,0
1JAH,0
1QG7,0
1G6N,0
1MOF,0
1CFM,0
1MUP,0
3CLN,0
1E87,0
1QE6,0
1B09,0
1HUS,0
2FAL,0
1B0O,0
1B9T,1
1GMS,1
1QNF,1
1JWO,1
1JHE,1
1D7K,1
1EQJ,1
8CHO,1
1JA1,1
1E3U,1
1QPO,1
1G0H,1
1E4L,1
2USH,1
1JPR,1
1DDE,1
1QCF,1
1SET,1
1EUS,1
3RAN,1
1DZT,1
1B7Y,1
4DCG,1
8LPR,1
1IRB,1
1RLR,1
1IOW,1
1BMQ,1
1DJO,1
1CCW,1
2MBR,1
1JLN,1
1AQY,1
1JAE,1
2DHN,1
1BD3,1
2TDT,1
1AA8,1
1MUY,1
1F5V,1
1HC7,1
2MAD,1
1HD7,1
1DCU,1
1YTN,1
1VNC,1
1NGS,1
1ELU,1
1EYQ,1
2AHJ,1
1G2O,1
3CGT,1
4PAH,1
1SVP,1
1DS0,1
1PMK,1
1IG8,1
2PVA,1
1QCO,1
1EA1,1
1EVX,1
1ARC,1
1CNZ,1
1E6B,1
1QHH,1
2GLT,1
1IA1,1
1EUU,1
1HFC,1
1E29,1
1OPC,1
1CPC,1
1PLF,1
1HXI,1
1PTX,1
1E7T,1
1G3J,1
1F0M,1
1MDT,1
1D00,1
1B0Y,1
1SKZ,1
1PHN,1
1D7P,1
1EFT,1
1CZQ,1
1CAU,1
3ERD,1
2TGI,1
3VUB,1
1QOK,1
1MJK,1
1DTJ,1
1JF0,1
1QSC,1
1FW4,1
2GDM,1
1COT,1
1A7W,1
1JGJ,1
1C4P,1
1JDO,1
1BXT,1
1DK8,1
1BXM,1
1A0K,1
1H75,1
2LIS,1
1NKD,1
2HEX,1
2GWX,1
1ATG,1
2TMY,1
1KDJ,1
1JMW,1
1QTP,1
1EJ4,1
2TSC,2
1COM,2
1B6S,2
1G0W,2
3HAD,2
2NSY,2
1F4L,2
1C7N,2
1G72,2
4FBP,2
2RSL,2
1POO,2
1PGS,2
1QMH,2
2CI2,2
2CND,2
1MOQ,2
1POX,2
3ECA,2
1A8P,2
1DIA,2
1QAM,2
1DV7,2
1FK8,2
1BOX,2
1C3U,2
4NOS,2
1IO2,2
7AAT,2
1GJW,2
1HO4,2
1B74,2
1VPE,2
1FR8,2
2UBP,2
1C7I,2
1NNA,2
1C77,2
1YPN,2
1PML,2
1LDG,2
1G0R,2
1JNW,2
1E1R,2
2PF1,2
1G6L,2
1BUC,2
2FKE,2
1PHK,2
1A8R,2
2EQL,2
4MDH,2
3CYH,2
7CAT,2
1D8W,2
2GD1,2
1J9Q,2
1E7L,2
2HPD,2
1G98,2
1BWP,2
1F9O,2
1QM6,2
1AW9,2
1I0S,2
2FOK,2
1BA3,2
1EEX,2
2AXE,2
1BY7,2
1IC0,2
1G62,2
1QM7,2
1E00,2
1E4J,2
1QQ1,2
1EHH,2
1EPU,2
1FXD,2
1IOP,2
1ERN,2
1HTJ,2
1MYK,2
1CNO,2
2FIT,2
1DOT,2
1QAD,2
1LEN,2
1CC7,2
1HZ5,2
1BKB,2
1NG1,2
3EIP,2
1J7A,2
1EE4,2
1RCB,2
1MZM,2
1MYT,2
1IKE,2
1ET6,2
1AS4,2
1LKF,2
1QSU,2
1I7E,2
1AWP,2
1F5N,2
1OR3,2
1A8O,2
1QJ9,2
1ORC,2
4OVO,2
1I6A,2
3PYP,2
1UP1,2
1E2U,2
2FHA,2
1C5E,2
1XKJ,3
2FIV,3
1CKN,3
2A0B,3
3DMR,3
1MAC,3
1G9Q,3
1QDQ,3
1CVL,3
1BN6,3
1BK4,3
1LSG,3
1DUP,3
1DD8,3
1KVA,3
1G6T,3
1HTP,3
1CSM,3
1EP9,3
1ZIN,3
3PTD,3
1QH7,3
1INO,3
1GG1,3
3CBH,3
1NOS,3
1D3H,3
2POL,3
1F6W,3
1E92,3
4PGM,3
2UDP,3
1L97,3
1DO8,3
11AS,3
1F75,3
1I59,3
1INC,3
2MJP,3
1MKA,3
1GA4,3
2FUA,3
1I1Q,3
3GCB,3
1ADO,3
1FHV,3
1XAN,3
1FF3,3
1QRF,3
1FPX,3
1DQX,3
1CF2,3
1C02,3
1B0E,3
1A26,3
1JIN,3
1B9I,3
1E5E,3
1J71,3
1JFV,3
1JBP,3
1QMV,3
1FCB,3
1KAA,3
1G93,3
1QMG,3
1HNU,3
1FFU,3
1FO6,3
1OVB,3
1JLJ,3
1QFV,3
1JET,3
1IND,3
1QAW,3
1AS0,3
1FTJ,3
1R69,3
1G7S,3
1HZG,3
1ION,3
1F47,3
2TEP,3
1FR9,3
2LIG,3
1JRR,3
1FVU,3
1HQO,3
1JY3,3
3PRN,3
2TDX,3
1CS3,3
1AR0,3
1JQF,3
1E7C,3
1BFE,3
1JAF,3
4MON,3
1BM3,3
2FIB,3
1D2E,3
1C94,3
1NCO,3
1ED1,3
1MRG,3
1LIT,3
1I4U,3
4BCL,3
2VPF,3
1BTN,3
1LOU,3
1IXG,3
1SWG,3
1CFW,3
1B9W,3
1YTT,3
1G5I,3
1JDX,4
