pdb_code,enzyme
11AS,yes
1A26,yes
1A2J,yes
1A2P,yes
1A33,yes
1A49,yes
1A4M,yes
1A4S,yes
1A59,yes
1A5V,yes
1A5Z,yes
1A69,yes
1A77,yes
1A7U,yes
1A82,yes
1A8D,yes
1A8P,yes
1A8R,yes
1A95,yes
1A9U,yes
1A9X,yes
1AA6,yes
1AA8,yes
1ABO,yes
1AD4,yes
1ADE,yes
1ADO,yes
1AE1,yes
1AFW,yes
1AGJ,yes
1AI4,yes
1AJ5,yes
1AJA,yes
1AK2,yes
1AL8,yes
1ALN,yes
1AQ2,yes
1AQY,yes
1ARC,yes
1AUR,yes
1AUW,yes
1AV4,yes
1AW9,yes
1AY5,yes
1AYD,yes
1AYX,yes
1AZ3,yes
1AZ9,yes
1B06,yes
1B0E,yes
1B0Z,yes
1B14,yes
1B1E,yes
1B1Y,yes
1B25,yes
1B31,yes
1B38,yes
1B49,yes
1B4U,yes
1B4V,yes
1B55,yes
1B57,yes
1B66,yes
1B6A,yes
1B6B,yes
1B6S,yes
1B74,yes
1B7Y,yes
1B80,yes
1B92,yes
1B9I,yes
1B9T,yes
1BA3,yes
1BAI,yes
1BC5,yes
1BD0,yes
1BD3,yes
1BDO,yes
1BGL,yes
1BH5,yes
1BHJ,yes
1BIX,yes
1BK0,yes
1BK4,yes
1BLI,yes
1BMQ,yes
1BN6,yes
1BOX,yes
1BQ6,yes
1BS4,yes
1BT3,yes
1BT4,yes
1BU6,yes
1BUC,yes
1BVU,yes
1BW0,yes
1BWP,yes
1BYS,yes
1C02,yes
1C1D,yes
1C1H,yes
1C2P,yes
1C3F,yes
1C3R,yes
1C3U,yes
1C4A,yes
1C77,yes
1C7I,yes
1C7K,yes
1C7N,yes
1CCW,yes
1CD5,yes
1CEF,yes
1CEN,yes
1CF2,yes
1CG6,yes
1CIP,yes
1CJC,yes
1CKJ,yes
1CKN,yes
1CL0,yes
1CL2,yes
1CL6,yes
1CMV,yes
1CNS,yes
1CNZ,yes
1COM,yes
1CP2,yes
1CPM,yes
1CR0,yes
1CSK,yes
1CSM,yes
1CVL,yes
1CWR,yes
1CWU,yes
1CY0,yes
1CYX,yes
1D0Q,yes
1D3H,yes
1D4D,yes
1D6S,yes
1D6W,yes
1D7K,yes
1D8I,yes
1D8W,yes
1DAW,yes
1DCO,yes
1DCU,yes
1DD8,yes
1DDE,yes
1DEL,yes
1DFA,yes
1DHP,yes
1DHY,yes
1DIA,yes
1DIH,yes
1DIX,yes
1DJ9,yes
1DJN,yes
1DJO,yes
1DKM,yes
1DKU,yes
1DLG,yes
1DLJ,yes
1DLQ,yes
1DO8,yes
1DQA,yes
1DQI,yes
1DQP,yes
1DQX,yes
1DS0,yes
1DT1,yes
1DU4,yes
1DUC,yes
1DUG,yes
1DUP,yes
1DV1,yes
1DV7,yes
1DVG,yes
1DWK,yes
1DY3,yes
1DZT,yes
1E0T,yes
1E1O,yes
1E1R,yes
1E3D,yes
1E3P,yes
1E3U,yes
1E4L,yes
1E5E,yes
1E5L,yes
1E5S,yes
1E6B,yes
1E6P,yes
1E6U,yes
1E6Y,yes
1E7L,yes
1E7Y,yes
1E8Y,yes
1E92,yes
1EA1,yes
1EAF,yes
1ECJ,yes
1EDQ,yes
1EEX,yes
1EG9,yes
1EGH,yes
1EGU,yes
1EH7,yes
1EJ0,yes
1EJ2,yes
1EJB,yes
1EKK,yes
1EKP,yes
